Year,Taxation from other governments,Property taxation,Funding transfers from other governments,User charges,Other,Government business enterprise earnings,Investment income,Development charges,Rent and concessions,Municipal land transfer tax,TOTAL
1998,210407,2546569,2018070,1422823,312644,,,,,,6510513
1999,194578,2603986,985620,2357980,173888,,,,,,6316052
2000,143213,2652237,1339807,1415721,794355,,,,,,6345333
2001,140085,2830400,1431571,1497308,846122,,,,,,6745486
2002,70532,2897943,1576525,1625970,913402,,,,,,7084372
2003,70165,2913398,1653141,1619057,867872,123154,,,,,7246787
2004,79599,3016817,1600688,1681994,887680,112215,,,,,7378993
2005,113243,3122120,1831399,1766557,943337,102376,,,,,7879032
2006,89667,3074783,2254726,1850107,1134567,107822,,,,,8511672
2007,99181,3186766,1940866,1966890,1536472,107822,,,,,8837997
2008,80710,3469974,2222619,2108423,1396932,129815,,,,,9408473
2009,100179,3655880,2901868,2309164,997716,108657,257883,83144,,,10414491
2010,108656,3859765,3173242,2529093,540861,115012,265990,92162,372959,,11057740
2011,98596,3907433,3148351,2632476,641531,153294,248397,94952,386073,,11311103
2012,106600,3750325,3054218,2797655,681147,188041,246760,141133,395470,349798,11711147
2013,111292,3696736,2638543,2638543,462454,175544,232244,164004,438698,360884,10918942
2014,111598,3768009,2752112,2753273,511685,73281,270603,132523,426929,449604,11249617
2015,86302,3879877,2862220,2780791,660497,294189,259679,221192,451776,524000,12020523
